GVID,GameID,Year,Genre,Publisher,developer,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,user_review_count,critic_review_count
730,730,2011,Action,Ignition Entertainment,Ignition Entertainment,0.4499999999999999,0.18,0.12,0.11,0.04,51,46
731,731,2006,Action,Konami Digital Entertainment,Konami,0.33,0.22,0.01,0.08,0.02,22,46
732,732,2006,Misc,Nintendo,iNiS,0.37,0.31,0.03,0.0,0.03,97,51
733,733,2001,Strategy,Vivendi Games,Stainless Steel Studios,0.05,0.0,0.04,0.0,0.01,202,23
734,734,2005,Strategy,Vivendi Games,Mad Doc Software,0.03,0.0,0.03,0.0,0.0,79,39
735,735,2007,Strategy,Vivendi Games,Mad Doc Software,0.04,0.0,0.03,0.0,0.01,46,40
736,736,2009,Strategy,Sega,Creative Assembly,1.09,0.01,0.97,0.0,0.11,901,62
737,737,2007,Role-Playing,Ubisoft,From Software,0.3999999999999999,0.33,0.03,0.0,0.04,42,54
738,738,2002,Adventure,Swing! Entertainment,Starbreeze,0.15,0.11,0.03,0.0,0.01,8,28
739,739,2007,Adventure,Nintendo,Arika,1.09,0.44,0.47,0.09,0.09,28,42
740,740,2009,Simulation,Nintendo,Arika,0.8799999999999999,0.47,0.22,0.12,0.07,34,42
741,741,2014,Shooter,City Interactive,CI Games,0.12,0.03,0.08,0.0,0.01,142,13
742,742,2008,Shooter,Activision,Splash Damage,0.7999999999999999,0.54,0.18,0.0,0.08,65,55
743,743,2010,Action,Namco Bandai Games,Ninja Theory,1.12,0.54,0.43,0.01,0.14,378,72
744,744,2003,Action,Atari,Shiny Entertainment,4.840000000000001,2.84,1.64,0.12,0.24,19,33
745,745,2005,Racing,Konami Digital Entertainment,Konami,0.15,0.07,0.06,0.0,0.02,19,43
746,746,2006,Action,Vivendi Games,Stormfront Studios,0.41,0.35,0.03,0.0,0.03,11,32
747,747,2014,Action,Deep Silver,Fatshark,0.1699999999999999,0.06,0.09,0.0,0.02,61,25
748,748,2001,Adventure,LucasArts,LucasArts,0.0999999999999999,0.05,0.04,0.0,0.01,124,32
749,749,2004,Sports,Global Star,Visual Concepts,2.5500000000000003,2.14,0.16,0.0,0.25,8,28
750,750,2004,Sports,Sega,Visual Concepts,4.26,3.69,0.1399999999999999,0.0,0.43,72,42
751,751,2004,Sports,Global Star,Kush Games,1.2999999999999998,0.75,0.42,0.0,0.13,10,32
752,752,2002,Adventure,Nintendo,Silicon Knights,0.44,0.34,0.09,0.0,0.01,238,41
753,753,2008,Role-Playing,Atari,Tri-Crescendo,0.78,0.38,0.17,0.15,0.08,89,56
754,754,2015,Role-Playing,Nippon Ichi Software,Spike Chunsoft,0.2299999999999999,0.09,0.01,0.12,0.01,58,44
755,755,2007,Role-Playing,Nintendo,Lancarse,0.34,0.2,0.03,0.09,0.02,31,30
756,756,2008,Role-Playing,Atlus,Atlus,0.37,0.1,0.0,0.26,0.01,25,17
757,757,2010,Role-Playing,Atlus,Atlus,0.33,0.13,0.0,0.19,0.01,29,23
758,758,2013,Role-Playing,Atlus,Atlus,0.26,0.1,0.01,0.14,0.01,103,41
759,759,2012,Action,SCS Software,SCS Software,0.1399999999999999,0.0,0.12,0.0,0.02,1802,18
