SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
604,604,-0.019,0.003,-0.998
605,605,0.55,-0.079,-0.178
606,606,0.373,-0.087,-0.996
607,607,0.661,-0.006,-0.117
608,608,0.737,0.155,0.381
609,609,0.716,0.208,0.594
610,610,0.812,0.173,0.502
611,611,0.954,0.131,0.995
612,612,0.571,0.002,0.975
613,613,0.077,0.051,0.022
614,614,0.193,0.075,-0.125
615,615,0.06,0.046,0.214
616,616,0.59,0.095,0.272
617,617,0.41,0.038,-0.327
618,618,0.297,-0.015,-0.97
619,619,0.405,0.028,-0.302
620,620,0.345,0.071,-0.027
621,621,0.599,0.14,0.272
622,622,0.747,-0.027,0.243
623,623,0.768,0.204,0.479
624,624,0.337,-0.027,-0.4
625,625,0.657,0.181,0.231
626,626,0.552,0.037,0.429
627,627,0.62,0.164,0.497
628,628,0.312,0.088,-0.027
629,629,0.656,0.169,0.874
630,630,0.574,0.118,0.487
631,631,0.598,0.083,-0.122
632,632,0.596,0.078,0.18
633,633,0.935,0.129,0.189
634,634,0.624,0.091,0.312
635,635,0.683,0.099,0.286
636,636,0.219,-0.062,-0.134
637,637,0.096,-0.175,-0.845
638,638,0.399,0.131,0.377
639,639,0.51,0.074,0.211
640,640,0.709,0.075,-0.202
641,641,0.041,-0.113,-0.987
642,642,0.78,0.237,0.713
643,643,0.094,0.093,-0.513
644,644,0.685,0.086,0.772
645,645,0.378,0.036,-0.168
646,646,-0.809,-0.385,-0.994
647,647,0.784,0.043,0.148
648,648,0.637,0.1,1.0
649,649,0.813,0.222,0.329
650,650,0.366,0.017,-0.382
651,651,0.493,0.062,0.048
652,652,0.903,0.031,0.328
653,653,0.596,0.087,0.015
654,654,-0.184,-0.262,-0.465
655,655,0.561,0.024,0.404
656,656,0.773,0.15,0.322
657,657,0.731,0.162,0.305
658,658,0.886,0.093,0.576
659,659,0.65,0.041,-0.254
660,660,0.229,-0.034,-0.58
661,661,0.917,0.202,0.733
662,662,0.651,0.151,0.216
663,663,0.817,0.182,0.42
664,664,0.846,0.129,0.456
665,665,0.687,0.093,0.329
666,666,0.575,-0.063,-0.992
667,667,0.616,0.071,0.51
668,668,-0.357,-0.16,-0.998
669,669,0.159,-0.032,-0.426
670,670,0.712,0.141,0.589
671,671,0.526,0.069,0.09
672,672,0.62,0.046,0.117
673,673,0.882,0.155,0.631
674,674,0.698,-0.051,0.349
675,675,0.592,0.109,0.492
676,676,0.584,0.012,-0.175
677,677,0.684,0.065,-0.024
678,678,0.192,-0.005,-0.35
679,679,0.547,0.072,0.049
680,680,0.365,-0.037,0.215
681,681,0.992,0.173,0.956
682,682,0.717,0.127,0.315
683,683,0.161,-0.044,-0.48
684,684,0.711,0.133,0.478
685,685,0.18,-0.105,-0.519
686,686,0.773,0.036,0.992
687,687,0.284,-0.063,-0.386
688,688,0.59,0.04,-0.046
689,689,0.804,0.197,0.572
690,690,0.423,-0.011,-0.488
691,691,0.64,-0.001,0.21
692,692,0.968,0.115,0.175
693,693,0.174,0.01,-0.671
694,694,0.491,0.123,0.371
695,695,0.166,0.05,-0.161
696,696,0.324,-0.001,-0.0
697,697,0.722,0.068,0.279
698,698,0.275,0.158,0.436
699,699,0.84,0.204,0.791
700,700,0.234,0.067,-0.342
701,701,0.53,-0.029,-0.98
702,702,0.324,0.074,-0.161
703,703,0.171,-0.054,-0.471
704,704,0.534,0.051,0.104
705,705,0.764,0.237,0.998
